iter	RMSE
0	259230.678
1	257286.448
2	255108.207
3	252593.4663
4	250392.9391
5	248214.2693
6	246057.2203
7	243551.2797
8	241571.0702
9	239759.2873
10	237680.8302
11	235750.3763
12	233836.7898
13	231558.569
14	228963.2026
15	227245.9787
16	225284.4065
17	223462.4736
18	221207.0333
19	219547.9806
20	217901.3708
21	216267.1105
22	214332.3286
23	211956.4323
24	210072.2407
25	207978.4432
26	206418.6049
27	204870.4654
28	203333.937
29	201692.55
30	200208.1314
31	198706.5704
32	197040.8759
33	195345.3739
34	193470.2033
35	192019.1768
36	190181.773
37	188755.4097
38	186954.9637
39	185199.0353
40	183810.0425
41	182431.4672
42	180668.1682
43	179121.2007
44	177187.6929
45	175769.7281
46	174451.4552
47	173003.3682
48	171371.4542
49	170003.5546
50	168728.5279
51	167143.8577
52	165579.1205
53	164337.2771
54	163029.6937
55	161806.971
56	160298.7783
57	158887.2317
58	157695.5775
59	156028.9376
60	154858.7205
61	153697.2802
62	152081.5577
63	150940.9461
64	149626.434
65	148440.4937
66	147327.19
67	146222.2361
68	145125.5694
69	143936.3749
70	142856.8521
71	141557.9256
72	140496.2412
73	139201.1938
74	138157.1849
75	137121.0061
76	136001.6526
77	134737.2915
78	133596.9297
79	132467.7615
80	131349.6688
81	130313.9896
82	129336.6347
83	128366.61
84	127403.8604
85	126099.6879
86	125038.3746
87	124100.5868
88	123092.457
89	122094.0814
90	121178.3758
91	120269.538
92	119367.5165
93	118429.4435
94	117541.2227
95	116659.6635
96	115784.7161
97	114916.3307
98	113950.6577
99	113096.0278
100	112247.8076
101	111405.949
102	110570.4044
103	109675.5415
104	108852.9749
105	107998.787
106	107151.6527
107	106187.7515
108	105391.3434
109	104600.9083
110	103816.4015
111	103037.7785
112	102264.9952
113	101464.1309
114	100703.15
115	99947.87635
116	99198.26729
117	98454.2803
118	97715.87322
119	96983.00418
120	96255.63167
121	95502.13085
122	94754.82697
123	94044.16578
124	93257.2733
125	92528.06745
126	91834.10696
127	91145.35117
128	90461.76105
129	89754.6891
130	89053.41502
131	88357.88766
132	87668.05638
133	86983.87104
134	86331.49202
135	85684.00584
136	85041.37582
137	84403.56551
138	83770.53878
139	83117.01797
140	82493.64035
141	81874.93806
142	81260.87604
143	80627.17236
144	80022.46858
145	79422.30008
146	78826.63284
147	78235.43311
148	77648.66737
149	77043.35962
150	76465.53444
151	75892.04294
152	75322.85264
153	74757.93125
154	74197.24678
155	73640.76744
156	73088.4617
157	72540.29825
158	71996.24602
159	71456.27419
160	70920.35215
161	70388.44952
162	69860.53616
163	69316.14319
164	68796.27213
165	68280.3001
166	67768.19786
167	67259.93638
168	66755.48687
169	66254.82073
170	65757.90959
171	65264.72528
172	64775.23985
173	64289.42556
174	63807.25488
175	63328.70048
176	62853.73524
177	62382.33223
178	61914.46475
179	61450.10628
180	60989.23049
181	60531.81127
182	60077.8227
183	59627.23904
184	59180.03475
185	58736.1845
186	58295.66313
187	57858.44566
188	57424.50733
189	56993.82354
190	56566.36987
191	56142.1221
192	55721.0562
193	55303.14829
194	54888.37468
195	54476.71188
196	54068.13655
197	53662.62554
198	53260.15586
199	52860.7047
200	52464.24942
201	52070.76756
202	51680.23681
203	51292.63504
204	50907.94029
205	50526.13074
206	50147.18477
207	49771.08089
208	49397.7978
209	49027.31432
210	48659.60947
211	48294.66241
212	47932.45245
213	47572.95906
214	47216.16188
215	46862.04067
216	46510.57537
217	46161.74607
218	45815.53298
219	45471.91649
220	45130.87712
221	44792.39555
222	44456.45259
223	44123.02921
224	43792.1065
225	43463.6657
226	43137.68822
227	42814.15556
228	42493.0494
229	42174.35154
230	41858.04391
231	41544.10859
232	41232.52778
233	40923.28383
234	40616.35921
235	40311.73652
236	40009.3985
237	39709.32802
238	39411.50807
239	39115.92176
240	38822.55236
241	38531.38322
242	38242.39785
243	37955.57988
244	37670.91303
245	37388.38119
246	37107.96834
247	36829.65858
248	36553.43615
249	36279.28539
250	36007.19075
251	35737.13683
252	35469.10831
253	35203.09
254	34939.06683
255	34677.02384
256	34416.94616
257	34158.81907
258	33902.62793
259	33648.35823
260	33395.99555
261	33145.52559
262	32896.93415
263	32650.20715
264	32405.3306
265	32162.29063
266	31921.07345
267	31681.66541
268	31444.05292
269	31208.22253
270	30974.16087
271	30741.85467
272	30511.29076
273	30282.45609
274	30055.33767
275	29829.92264
276	29606.19823
277	29384.15175
278	29163.77061
279	28945.04234
280	28727.95453
281	28512.49487
282	28298.65117
283	28086.41129
284	27875.76321
285	27666.69499
286	27459.19478
287	27253.25082
288	27048.85145
289	26845.98507
290	26644.64018
291	26444.80539
292	26246.46935
293	26049.62083
294	25854.24868
295	25660.34182
296	25467.88926
297	25276.8801
298	25087.3035
299	24899.14873
300	24712.40512
301	24527.06208
302	24343.10912
303	24160.53581
304	23979.33179
305	23799.48681
306	23620.99066
307	23443.83323
308	23268.00449
309	23093.49446
310	22920.29325
311	22748.39106
312	22577.77813
313	22408.4448
314	22240.38147
315	22073.57861
316	21908.02677
317	21743.71658
318	21580.6387
319	21418.78392
320	21258.14304
321	21098.70697
322	20940.46667
323	20783.41318
324	20627.53758
325	20472.83105
326	20319.28482
327	20166.89019
328	20015.63852
329	19865.52123
330	19716.52983
331	19568.65586
332	19421.89094
333	19276.22676
334	19131.65506
335	18988.16766
336	18845.7564
337	18704.41323
338	18564.13013
339	18424.89916
340	18286.71242
341	18149.56208
342	18013.44037
343	17878.33957
344	17744.25203
345	17611.17014
346	17479.08636
347	17347.99322
348	17217.88327
349	17088.74915
350	16960.58354
351	16833.37916
352	16707.12882
353	16581.82536
354	16457.46167
355	16334.03071
356	16211.52548
357	16089.93905
358	15969.26451
359	15849.49502
360	15730.62381
361	15612.64414
362	15495.54931
363	15379.33269
364	15263.9877
365	15149.50779
366	15035.88649
367	14923.11734
368	14811.19396
369	14700.11001
370	14589.85919
371	14480.43525
372	14371.83199
373	14264.04325
374	14157.06293
375	14050.88496
376	13945.50332
377	13840.91205
378	13737.10521
