iter	Passed	Remaining
0	143	286402
1	143	143677
2	144	96042
3	144	72135
4	144	57787
5	145	48225
6	145	41410
7	145	36304
8	146	32351
9	146	29183
10	147	26583
11	147	24393
12	147	22558
13	147	20979
14	148	19599
15	148	18403
16	148	17362
17	149	16427
18	149	15582
19	149	14837
20	150	14161
21	150	13542
22	150	12974
23	151	12449
24	151	11968
25	151	11524
26	152	11117
27	152	10744
28	153	10407
29	153	10079
30	153	9773
31	154	9482
32	154	9209
33	154	8955
34	155	8710
35	155	8485
36	155	8267
37	156	8063
38	156	7866
39	156	7679
40	157	7503
41	157	7338
42	157	7175
43	157	7019
44	158	6867
45	158	6727
46	158	6595
47	159	6469
48	159	6343
49	159	6221
50	159	6106
51	160	5999
52	160	5895
53	160	5797
54	161	5700
55	161	5606
56	161	5511
57	162	5426
58	162	5343
59	162	5257
60	163	5181
61	163	5105
62	163	5029
63	163	4960
64	164	4892
65	164	4823
66	164	4759
67	165	4702
68	165	4641
69	166	4580
70	166	4521
71	166	4462
72	167	4410
73	167	4358
74	167	4307
75	168	4257
76	168	4205
77	168	4156
78	168	4106
79	169	4059
80	169	4013
81	169	3967
82	169	3925
83	170	3884
84	170	3843
85	170	3802
86	171	3763
87	171	3724
88	171	3687
89	172	3651
90	172	3615
91	172	3580
92	172	3545
93	173	3512
94	173	3479
95	173	3447
96	174	3416
97	174	3386
98	174	3356
99	175	3326
100	175	3298
101	175	3271
102	176	3247
103	176	3221
104	177	3195
105	177	3169
106	177	3143
107	177	3117
108	178	3094
109	178	3070
110	179	3048
111	179	3026
112	179	3003
113	180	2979
114	180	2959
115	180	2939
116	181	2918
117	181	2900
118	182	2879
119	182	2859
120	182	2839
121	183	2818
122	183	2798
123	183	2781
124	184	2762
125	184	2743
126	184	2725
127	185	2707
128	185	2689
129	185	2671
130	185	2653
131	186	2635
132	186	2618
133	186	2600
134	187	2584
135	187	2568
136	187	2553
137	188	2538
138	188	2523
139	188	2507
140	189	2493
141	189	2480
142	189	2466
143	190	2452
144	190	2438
145	190	2423
146	191	2409
147	191	2400
148	192	2387
149	192	2374
150	192	2362
151	193	2350
152	193	2337
153	193	2324
154	194	2312
155	194	2299
156	194	2287
157	195	2276
158	195	2265
159	195	2253
160	196	2242
161	196	2231
162	196	2220
163	197	2208
164	197	2197
165	197	2186
166	198	2176
167	198	2166
168	199	2156
169	199	2146
170	199	2137
171	200	2128
172	200	2118
173	200	2109
174	201	2100
175	201	2091
176	202	2082
177	202	2072
178	202	2063
179	203	2055
180	203	2047
181	204	2039
182	204	2030
183	204	2021
184	205	2012
185	205	2005
186	206	1997
187	206	1990
188	206	1983
189	207	1975
190	207	1966
191	207	1958
192	208	1951
193	208	1943
194	209	1935
195	209	1926
196	209	1918
197	210	1911
198	210	1903
199	210	1896
200	211	1888
201	211	1881
202	211	1873
203	211	1865
204	212	1858
205	212	1852
206	213	1845
207	213	1838
208	213	1831
209	213	1823
210	214	1816
211	214	1810
212	215	1804
213	215	1797
214	215	1791
215	216	1784
216	216	1777
217	216	1771
218	216	1764
219	217	1757
220	217	1751
221	217	1745
222	218	1739
223	218	1733
224	218	1727
225	219	1721
226	219	1716
227	220	1710
228	220	1705
229	220	1699
230	221	1693
231	221	1687
232	221	1682
233	222	1676
234	222	1670
235	222	1664
236	223	1659
237	223	1653
238	223	1647
239	223	1641
240	224	1636
241	224	1630
242	224	1625
243	225	1621
244	225	1616
245	226	1611
246	226	1606
247	226	1602
248	227	1597
